reaction_id,minimum,maximum
EX_acgal1p_LPAREN_e_RPAREN_,0,0
EX_acgam_LPAREN_e_RPAREN_,0,0
EX_acgam1p_LPAREN_e_RPAREN_,0,0
EX_acmana_LPAREN_e_RPAREN_,0,0
EX_acmum_LPAREN_e_RPAREN_,0,0
EX_acnam_LPAREN_e_RPAREN_,0,0
EX_acolipa_LPAREN_e_RPAREN_,0,-3.60013E-07
EX_acser_LPAREN_e_RPAREN_,0,-1.02518E-05
EX_ade_LPAREN_e_RPAREN_,0,-2.7601E-06
EX_adn_LPAREN_e_RPAREN_,0,-2.23096E-06
EX_adocbl_LPAREN_e_RPAREN_,0,0
EX_ag_LPAREN_e_RPAREN_,0,0
EX_agm_LPAREN_e_RPAREN_,0,-7.97363E-06
EX_akg_LPAREN_e_RPAREN_,0,-1.19604E-05
EX_ala_DASH_B_LPAREN_e_RPAREN_,0,0
EX_ala_DASH_D_LPAREN_e_RPAREN_,0,-4.78417E-05
EX_ala_DASH_L_LPAREN_e_RPAREN_,0,-4.78418E-05
EX_alaala_LPAREN_e_RPAREN_,0,-1.79407E-05
EX_all_DASH_D_LPAREN_e_RPAREN_,0,0
EX_alltn_LPAREN_e_RPAREN_,0,-2.60955E-05
EX_amp_LPAREN_e_RPAREN_,0,0
EX_anhgm_LPAREN_e_RPAREN_,0,-4.62985E-06
EX_arab_DASH_L_LPAREN_e_RPAREN_,0,-1.95716E-05
EX_arbt_LPAREN_e_RPAREN_,0,0
EX_arbtn_LPAREN_e_RPAREN_,0,0
EX_arbtn_DASH_fe3_LPAREN_e_RPAREN_,0,0
EX_arg_DASH_L_LPAREN_e_RPAREN_,0,-4.62985E-06
EX_ascb_DASH_L_LPAREN_e_RPAREN_,0,0
EX_asn_DASH_L_LPAREN_e_RPAREN_,0,-1.19604E-05
EX_aso3_LPAREN_e_RPAREN_,0,0
EX_asp_DASH_L_LPAREN_e_RPAREN_,0,-1.79407E-05
EX_btn_LPAREN_e_RPAREN_,0,0
EX_but_LPAREN_e_RPAREN_,0,0
EX_butso3_LPAREN_e_RPAREN_,0,0
EX_ca2_LPAREN_e_RPAREN_,-0.00236566,-0.00236566
EX_cbi_LPAREN_e_RPAREN_,0,0
EX_cbl1_LPAREN_e_RPAREN_,-0.000106531,-0.000106531
EX_cd2_LPAREN_e_RPAREN_,0,0
EX_cgly_LPAREN_e_RPAREN_,0,-5.1259E-06
EX_chol_LPAREN_e_RPAREN_,0,0
EX_chtbs_LPAREN_e_RPAREN_,0,0
EX_cit_LPAREN_e_RPAREN_,0,-9.56835E-06
EX_cl_LPAREN_e_RPAREN_,-0.00236566,-0.00236566
EX_cm_LPAREN_e_RPAREN_,0,0
EX_cmp_LPAREN_e_RPAREN_,0,0
EX_co2_LPAREN_e_RPAREN_,-0.163941,-0.164802
EX_cobalt2_LPAREN_e_RPAREN_,-0.0188471,-1.14652E-05
EX_colipa_LPAREN_e_RPAREN_,0,-3.82055E-07
EX_colipap_LPAREN_e_RPAREN_,0,-2.64522E-07
EX_cpgn_LPAREN_e_RPAREN_,0,0
EX_cpgn_DASH_un_LPAREN_e_RPAREN_,0,0
EX_crn_LPAREN_e_RPAREN_,0,0
EX_crn_DASH_D_LPAREN_e_RPAREN_,0,0
EX_csn_LPAREN_e_RPAREN_,0,0
EX_cu_LPAREN_e_RPAREN_,0,0
EX_cu2_LPAREN_e_RPAREN_,-0.000321982,-0.000321982
EX_cyan_LPAREN_e_RPAREN_,0,0
EX_cynt_LPAREN_e_RPAREN_,0,0
EX_cys_DASH_D_LPAREN_e_RPAREN_,0,0
EX_cys_DASH_L_LPAREN_e_RPAREN_,0,-6.83454E-06
EX_cytd_LPAREN_e_RPAREN_,0,-3.47239E-06
EX_dad_DASH_2_LPAREN_e_RPAREN_,0,0
EX_damp_LPAREN_e_RPAREN_,0,0
EX_dca_LPAREN_e_RPAREN_,0,0
EX_dcmp_LPAREN_e_RPAREN_,0,0
EX_dcyt_LPAREN_e_RPAREN_,0,0
EX_ddca_LPAREN_e_RPAREN_,0,0
EX_dgmp_LPAREN_e_RPAREN_,0,0
EX_dgsn_LPAREN_e_RPAREN_,0,0
EX_dha_LPAREN_e_RPAREN_,0,-2.87051E-05
EX_dimp_LPAREN_e_RPAREN_,0,0
EX_din_LPAREN_e_RPAREN_,0,0
EX_dms_LPAREN_e_RPAREN_,0,0
EX_dmso_LPAREN_e_RPAREN_,0,0
EX_dopa_LPAREN_e_RPAREN_,0,0
EX_doxrbcn_LPAREN_e_RPAREN_,0,0
EX_dtmp_LPAREN_e_RPAREN_,0,0
EX_dump_LPAREN_e_RPAREN_,0,0
EX_duri_LPAREN_e_RPAREN_,0,0
EX_eca4colipa_LPAREN_e_RPAREN_,0,-2.14966E-07
EX_enlipa_LPAREN_e_RPAREN_,0,-6.71725E-07
EX_enter_LPAREN_e_RPAREN_,0,-1.08731E-06
EX_etha_LPAREN_e_RPAREN_,0,-0.000143525
EX_ethso3_LPAREN_e_RPAREN_,0,0
EX_etoh_LPAREN_e_RPAREN_,14.723,14.7223
EX_f6p_LPAREN_e_RPAREN_,0,0
EX_fald_LPAREN_e_RPAREN_,0,0
EX_fe2_LPAREN_e_RPAREN_,-0.00386831,-0.00390492
EX_fe3_LPAREN_e_RPAREN_,-0.00351261,-0.00356261
EX_fe3dcit_LPAREN_e_RPAREN_,0,0
EX_fe3dhbzs_LPAREN_e_RPAREN_,0,0
EX_fe3hox_LPAREN_e_RPAREN_,0,0
EX_fe3hox_DASH_un_LPAREN_e_RPAREN_,0,0
EX_fecrm_LPAREN_e_RPAREN_,0,0
EX_fecrm_DASH_un_LPAREN_e_RPAREN_,0,0
EX_feenter_LPAREN_e_RPAREN_,0,-1.04763E-06
EX_feoxam_LPAREN_e_RPAREN_,0,0
EX_feoxam_DASH_un_LPAREN_e_RPAREN_,0,0
EX_for_LPAREN_e_RPAREN_,31.5665,31.5656
EX_fru_LPAREN_e_RPAREN_,0,0
EX_frulys_LPAREN_e_RPAREN_,0,0
EX_fruur_LPAREN_e_RPAREN_,0,0
EX_fuc_DASH_L_LPAREN_e_RPAREN_,0,0
EX_fum_LPAREN_e_RPAREN_,0,0
EX_fusa_LPAREN_e_RPAREN_,0,0
EX_g1p_LPAREN_e_RPAREN_,0,0
EX_g3pc_LPAREN_e_RPAREN_,0,0
EX_g3pe_LPAREN_e_RPAREN_,0,-1.43525E-05
EX_g3pg_LPAREN_e_RPAREN_,0,-1.02518E-05
EX_g3pi_LPAREN_e_RPAREN_,0,0
EX_g3ps_LPAREN_e_RPAREN_,0,0
EX_g6p_LPAREN_e_RPAREN_,0,0
EX_gal_LPAREN_e_RPAREN_,0,-1.59473E-05
EX_gal_DASH_bD_LPAREN_e_RPAREN_,0,0
EX_gal1p_LPAREN_e_RPAREN_,0,0
EX_galct_DASH_D_LPAREN_e_RPAREN_,0,0
EX_galctn_DASH_D_LPAREN_e_RPAREN_,0,0
EX_galctn_DASH_L_LPAREN_e_RPAREN_,0,0
EX_galt_LPAREN_e_RPAREN_,0,0
EX_galur_LPAREN_e_RPAREN_,0,0
EX_gam_LPAREN_e_RPAREN_,0,0
EX_gam6p_LPAREN_e_RPAREN_,0,0
EX_gbbtn_LPAREN_e_RPAREN_,0,0
EX_gdp_LPAREN_e_RPAREN_,0,0
EX_glc_LPAREN_e_RPAREN_,-18.5,-18.5
EX_glcn_LPAREN_e_RPAREN_,0,-0.000017223
EX_glcr_LPAREN_e_RPAREN_,0,0
EX_glcur_LPAREN_e_RPAREN_,0,0
EX_glcur1p_LPAREN_e_RPAREN_,0,0
EX_gln_DASH_L_LPAREN_e_RPAREN_,0,0
EX_glu_DASH_L_LPAREN_e_RPAREN_,0,-1.19604E-05
EX_gly_LPAREN_e_RPAREN_,0,-2.39209E-05
EX_glyald_LPAREN_e_RPAREN_,0,-2.05036E-05
EX_glyb_LPAREN_e_RPAREN_,0,0
EX_glyc_LPAREN_e_RPAREN_,0,-2.87051E-05
EX_glyc_DASH_R_LPAREN_e_RPAREN_,0,-4.78418E-05
EX_glyc2p_LPAREN_e_RPAREN_,0,0
EX_glyc3p_LPAREN_e_RPAREN_,0,-1.59473E-05
EX_glyclt_LPAREN_e_RPAREN_,0.000497887,0.000139074
EX_gmp_LPAREN_e_RPAREN_,0,0
EX_gsn_LPAREN_e_RPAREN_,0,0
EX_gthox_LPAREN_e_RPAREN_,0,0
EX_gthrd_LPAREN_e_RPAREN_,0,-2.92909E-06
EX_gtp_LPAREN_e_RPAREN_,0,0
EX_gua_LPAREN_e_RPAREN_,0,-2.35287E-06
EX_h_LPAREN_e_RPAREN_,51.1163,51.115
EX_h2_LPAREN_e_RPAREN_,0,0
EX_h2o_LPAREN_e_RPAREN_,-2.41565,-2.41609
EX_h2o2_LPAREN_e_RPAREN_,0,0
EX_h2s_LPAREN_e_RPAREN_,0,-1.30478E-05
EX_hacolipa_LPAREN_e_RPAREN_,0,0
EX_halipa_LPAREN_e_RPAREN_,0,0
EX_hdca_LPAREN_e_RPAREN_,0,0
EX_hdcea_LPAREN_e_RPAREN_,0,0
EX_hg2_LPAREN_e_RPAREN_,0,0
EX_his_DASH_L_LPAREN_e_RPAREN_,0,-3.64895E-06
EX_hom_DASH_L_LPAREN_e_RPAREN_,0,-1.10404E-05
EX_hxa_LPAREN_e_RPAREN_,0,-3.58813E-05
EX_hxan_LPAREN_e_RPAREN_,0,-3.12012E-06
EX_idon_DASH_L_LPAREN_e_RPAREN_,0,-2.26619E-05
EX_ile_DASH_L_LPAREN_e_RPAREN_,0,-7.97363E-06
EX_imp_LPAREN_e_RPAREN_,0,0
EX_indole_LPAREN_e_RPAREN_,0,-3.87906E-06
EX_inost_LPAREN_e_RPAREN_,0,0
EX_ins_LPAREN_e_RPAREN_,0,-2.50335E-06
EX_isetac_LPAREN_e_RPAREN_,0,0
EX_k_LPAREN_e_RPAREN_,-0.0887074,-0.0887075
EX_kdo2lipid4_LPAREN_e_RPAREN_,0,-8.12407E-07
EX_lac_DASH_D_LPAREN_e_RPAREN_,0,-0.000143525
EX_lac_DASH_L_LPAREN_e_RPAREN_,2.87051E-05,-3.59E-05
EX_lcts_LPAREN_e_RPAREN_,0,-7.55396E-06
EX_leu_DASH_L_LPAREN_e_RPAREN_,0,-1.19604E-05
EX_lipa_LPAREN_e_RPAREN_,0,-7.44941E-07
EX_lipa_cold_LPAREN_e_RPAREN_,0,-7.37288E-07
EX_lipoate_LPAREN_e_RPAREN_,0,0
EX_lys_DASH_L_LPAREN_e_RPAREN_,0,-7.97363E-06
EX_lyx_DASH_L_LPAREN_e_RPAREN_,0,0
EX_mal_DASH_D_LPAREN_e_RPAREN_,0,0
EX_mal_DASH_L_LPAREN_e_RPAREN_,0,-2.87051E-05
EX_malt_LPAREN_e_RPAREN_,0,0
EX_malthx_LPAREN_e_RPAREN_,0,0
EX_maltpt_LPAREN_e_RPAREN_,0,0
EX_malttr_LPAREN_e_RPAREN_,0,0
EX_maltttr_LPAREN_e_RPAREN_,0,0
EX_man_LPAREN_e_RPAREN_,0,0
EX_man6p_LPAREN_e_RPAREN_,0,0
EX_manglyc_LPAREN_e_RPAREN_,0,0
EX_melib_LPAREN_e_RPAREN_,0,-7.55396E-06
EX_meoh_LPAREN_e_RPAREN_,9.55436E-07,2.69E-07
EX_met_DASH_D_LPAREN_e_RPAREN_,0,0
EX_met_DASH_L_LPAREN_e_RPAREN_,0,0
EX_metsox_DASH_R_DASH_L_LPAREN_e_RPAREN_,0,0
EX_metsox_DASH_S_DASH_L_LPAREN_e_RPAREN_,0,0
EX_mg2_LPAREN_e_RPAREN_,-0.0039426,-0.00394261
EX_mincyc_LPAREN_e_RPAREN_,0,0
EX_minohp_LPAREN_e_RPAREN_,0,0
EX_mmet_LPAREN_e_RPAREN_,0,0
EX_mn2_LPAREN_e_RPAREN_,-0.000314338,-0.000314338
EX_mnl_LPAREN_e_RPAREN_,0,0
EX_mobd_LPAREN_e_RPAREN_,-0.0106852,-6.54474E-05
EX_mso3_LPAREN_e_RPAREN_,0,0
EX_n2o_LPAREN_e_RPAREN_,0,0
EX_na1_LPAREN_e_RPAREN_,0,0
EX_nac_LPAREN_e_RPAREN_,0,0
EX_nh4_LPAREN_e_RPAREN_,-5.01895,-5.01914
EX_ni2_LPAREN_e_RPAREN_,-0.000146659,-0.000146659
EX_nmn_LPAREN_e_RPAREN_,0,0
EX_no_LPAREN_e_RPAREN_,0,0
EX_no2_LPAREN_e_RPAREN_,0,0
EX_no3_LPAREN_e_RPAREN_,0,0
EX_novbcn_LPAREN_e_RPAREN_,0,0
EX_o16a4colipa_LPAREN_e_RPAREN_,0,0
EX_o2_LPAREN_e_RPAREN_,0,0
EX_o2s_LPAREN_e_RPAREN_,0,0
EX_ocdca_LPAREN_e_RPAREN_,0,0
EX_ocdcea_LPAREN_e_RPAREN_,0,0
EX_octa_LPAREN_e_RPAREN_,0,0
EX_orn_LPAREN_e_RPAREN_,0,-7.55396E-06
EX_orot_LPAREN_e_RPAREN_,0,0
EX_pacald_LPAREN_e_RPAREN_,0,0
EX_peamn_LPAREN_e_RPAREN_,0,0
EX_phe_DASH_L_LPAREN_e_RPAREN_,0,-5.0067E-06
EX_pheme_LPAREN_e_RPAREN_,0,-7.2979E-07
EX_pi_LPAREN_e_RPAREN_,-0.442794,-0.442937
EX_pnto_DASH_R_LPAREN_e_RPAREN_,0,0
EX_ppa_LPAREN_e_RPAREN_,0,0
EX_ppal_LPAREN_e_RPAREN_,0,0
EX_pppn_LPAREN_e_RPAREN_,0,0
EX_ppt_LPAREN_e_RPAREN_,0,0
EX_pro_DASH_L_LPAREN_e_RPAREN_,0,-9.56835E-06
EX_progly_LPAREN_e_RPAREN_,0,0
EX_psclys_LPAREN_e_RPAREN_,0,0
EX_pser_DASH_L_LPAREN_e_RPAREN_,0,0
EX_ptrc_LPAREN_e_RPAREN_,0,-7.97363E-06
EX_pydam_LPAREN_e_RPAREN_,0,0
EX_pydx_LPAREN_e_RPAREN_,0,0
EX_pydxn_LPAREN_e_RPAREN_,0,0
EX_pyr_LPAREN_e_RPAREN_,0,-4.78418E-05
EX_quin_LPAREN_e_RPAREN_,0,-9.16119E-06
EX_r5p_LPAREN_e_RPAREN_,0,0
EX_rfamp_LPAREN_e_RPAREN_,0,0
EX_rib_DASH_D_LPAREN_e_RPAREN_,0,0
EX_rmn_LPAREN_e_RPAREN_,0,0
EX_sbt_DASH_D_LPAREN_e_RPAREN_,0,0
EX_sel_LPAREN_e_RPAREN_,0,0
EX_ser_DASH_D_LPAREN_e_RPAREN_,0,0
EX_ser_DASH_L_LPAREN_e_RPAREN_,0,-1.59473E-05
EX_skm_LPAREN_e_RPAREN_,0,0
EX_slnt_LPAREN_e_RPAREN_,0,0
EX_so2_LPAREN_e_RPAREN_,0,0
EX_so3_LPAREN_e_RPAREN_,0,0
EX_so4_LPAREN_e_RPAREN_,-0.120366,-0.120379
EX_spmd_LPAREN_e_RPAREN_,0,-2.01204E-06
EX_succ_LPAREN_e_RPAREN_,0.153671,0.153569
EX_sucr_LPAREN_e_RPAREN_,0,0
EX_sulfac_LPAREN_e_RPAREN_,0,0
EX_tartr_DASH_D_LPAREN_e_RPAREN_,0,0
EX_tartr_DASH_L_LPAREN_e_RPAREN_,0,0
EX_taur_LPAREN_e_RPAREN_,0,0
EX_tcynt_LPAREN_e_RPAREN_,0,0
EX_thm_LPAREN_e_RPAREN_,0,0
EX_thr_DASH_L_LPAREN_e_RPAREN_,0,-9.56835E-06
EX_thrp_LPAREN_e_RPAREN_,0,0
EX_thym_LPAREN_e_RPAREN_,0,-4.94915E-06
EX_thymd_LPAREN_e_RPAREN_,0,-3.74414E-06
EX_tma_LPAREN_e_RPAREN_,0,0
EX_tmao_LPAREN_e_RPAREN_,0,0
EX_tre_LPAREN_e_RPAREN_,0,0
EX_trp_DASH_L_LPAREN_e_RPAREN_,0,-3.50062E-06
EX_tsul_LPAREN_e_RPAREN_,0,0
EX_ttdca_LPAREN_e_RPAREN_,0,0
EX_ttdcea_LPAREN_e_RPAREN_,0,0
EX_ttrcyc_LPAREN_e_RPAREN_,0,0
EX_tungs_LPAREN_e_RPAREN_,0,0
EX_tym_LPAREN_e_RPAREN_,0,0
EX_tyr_DASH_L_LPAREN_e_RPAREN_,0,-4.68017E-06
EX_tyrp_LPAREN_e_RPAREN_,0,0
EX_uacgam_LPAREN_e_RPAREN_,0,0
EX_udpacgal_LPAREN_e_RPAREN_,0,0
EX_udpg_LPAREN_e_RPAREN_,0,0
EX_udpgal_LPAREN_e_RPAREN_,0,0
EX_udpglcur_LPAREN_e_RPAREN_,0,0
EX_ump_LPAREN_e_RPAREN_,0,0
EX_ura_LPAREN_e_RPAREN_,0,-5.98022E-06
EX_urea_LPAREN_e_RPAREN_,7.97363E-06,-1.20E-05
EX_uri_LPAREN_e_RPAREN_,0,-4.43893E-06
EX_val_DASH_L_LPAREN_e_RPAREN_,0,-2.39209E-05
EX_xan_LPAREN_e_RPAREN_,0,-2.99011E-06
EX_xmp_LPAREN_e_RPAREN_,0,0
EX_xtsn_LPAREN_e_RPAREN_,0,-2.41897E-06
EX_xyl_DASH_D_LPAREN_e_RPAREN_,0,0
EX_xylu_DASH_L_LPAREN_e_RPAREN_,0,0
EX_zn2_LPAREN_e_RPAREN_,-0.00015478,-0.000154781
12DGR120tipp,0,-1.59473E-05
12DGR140tipp,0,-3.58813E-05
12DGR141tipp,0,-1.59473E-05
12DGR160tipp,2.05036E-05,-1.59E-05
12DGR161tipp,3.58813E-05,-3.59E-05
12DGR180tipp,0,-1.59473E-05
12DGR181tipp,0,-3.58813E-05
12PPDRtex,2.87051E-05,-7.18E-05
12PPDRtpp,2.87051E-05,0.00E+00
12PPDStex,7.17627E-05,0.00E+00
12PPDStpp,7.17627E-05,0.00E+00
14GLUCANabcpp,0,0
14GLUCANtexi,0,0
23CAMPtex,0,0
23CCMPtex,0,0
23CGMPtex,0,0
23CUMPtex,0,0
23DAPPAt2pp,0,0
23DAPPAtex,0,0
23PDE2pp,0,0
23PDE4pp,0,0
23PDE7pp,0,0
23PDE9pp,0,0
26DAHtex,0,0
2AGPA120tipp,0,-7.17627E-05
2AGPA140tipp,0,-7.17627E-05
2AGPA141tipp,0,-7.17627E-05
2AGPA160tipp,0,-1.79407E-05
2AGPA161tipp,0,-1.79407E-05
2AGPA180tipp,0,-5.74101E-05
2AGPA181tipp,0,-1.79407E-05
2AGPE120tipp,7.17627E-05,-1.20E-05
2AGPE140tipp,0,-1.19604E-05
2AGPE141tipp,0,-0.000143525
2AGPE160tipp,0,-1.19604E-05
2AGPE161tipp,0,-1.19604E-05
2AGPE180tipp,0,-9.56835E-05
2AGPE181tipp,0,-1.19604E-05
2AGPEAT120,0,-1.19604E-05
2AGPEAT140,0,-1.19604E-05
2AGPEAT141,0.000143525,-1.19604E-05
2AGPEAT160,0,-1.19604E-05
2AGPEAT161,9.56835E-06,-1.20E-05
2AGPEAT180,7.17627E-05,-2.87E-04
2AGPEAT181,9.56835E-06,-1.20E-05
2AGPG120tipp,0,-1.19604E-05
2AGPG140tipp,4.78418E-05,-1.20E-05
2AGPG141tipp,0,-0.000143525
2AGPG160tipp,0,-1.19604E-05
2AGPG161tipp,0,-1.19604E-05
2AGPG180tipp,0,-9.56835E-05
2AGPG181tipp,0,-1.19604E-05
2AGPGAT120,0,-1.19604E-05
2AGPGAT140,0,-1.19604E-05
2AGPGAT141,0,-3.58813E-05
2AGPGAT160,1.19604E-05,-1.20E-05
2AGPGAT161,1.19604E-05,-1.20E-05
2AGPGAT180,0.000143525,-3.58813E-05
2AGPGAT181,1.19604E-05,-1.20E-05
2DGULRGx,0,0
2DGULRGy,0,0
2DGULRx,0,0
2DGULRy,0,0
2MAHMP,0,-3.58813E-05
34dhpactex,0,0
3AMACHYD,0,-2.40545E-06
3AMPtex,0,0
3CMPtex,0,0
3GMPtex,0,0
3HAD100,0,-1.19604E-05
3HAD120,0,-2.39209E-05
3HAD121,0,-5.98022E-06
3HAD140,0,-2.39209E-05
3HAD141,0,-5.98022E-06
3HAD160,0,-2.39209E-05
3HAD161,0,-9.56835E-05
3HAD180,0,-8.6985E-06
3HAD181,0,-2.39209E-05
3HAD40,0,-1.02518E-05
3HAD60,0,-1.02518E-05
3HAD80,0,-1.02518E-05
3HCINNMH,0,0
3HPPPNH,0,0
3HPPtex,2.40545E-06,0.00E+00
3HPPtpp,0,-2.40545E-06
3KGK,0,0
3NTD2pp,0,0
3NTD4pp,0,0
3NTD7pp,0,0
3NTD9pp,0,0
3OAR100,0,-1.43525E-05
3OAR120,0,-2.39209E-05
3OAR121,0,-5.98022E-06
3OAR140,0.0155755,0.0155516
3OAR141,0,-5.98022E-06
3OAR160,0,-2.39209E-05
3OAR161,0.000287051,-0.000143525
3OAR180,0,-8.6985E-06
3OAR181,0,-2.39209E-05
3OAR40,0,-1.02518E-05
3OAR60,0,-1.02518E-05
3OAR80,0,-1.02518E-05
3OAS100,0,-1.19604E-05
3OAS120,0,-2.39209E-05
3OAS121,0,-5.98022E-06
3OAS140,0.0155755,0.0155516
3OAS141,0,-5.98022E-06
3OAS160,0,-2.39209E-05
3OAS161,0,-9.56835E-05
3OAS180,0,-8.6985E-06
3OAS181,0,-2.39209E-05
3OAS60,0,-1.02518E-05
3OAS80,0,-1.02518E-05
3OXCOAT,0,0
3PEPTabcpp,3.50062E-06,-3.59E-05
3PEPTtex,3.50062E-06,0.00E+00
3UMPtex,0,0
42A12BOOXpp,0,0
4HOXPACDtex,0,0
4HTHRS,0,0
4PCP,0,-4.78418E-05
4PCPpp,0,-0.000143525
4PEPTabcpp,0.000143525,-3.58813E-05
4PEPTtex,3.18945E-06,0.00E+00
5DGLCNR,2.26619E-05,0.00E+00
5DGLCNt2rpp,0.000017223,0.00E+00
5DGLCNtex,0.000017223,0.00E+00
5DOAN,0.000536477,0.000535018
5MTRtex,-0.00321972,-0.00322173
5MTRtpp,0.00322173,0.00321972
A5PISO,0.0116816,0.01168
AACPS1,0.0039178,0.003858
AACPS2,0,-3.58813E-05
AACPS3,0.0579721,0.0576611
AACPS4,0.0452153,0.0450359
AACPS5,0.0232534,0.0231936
AACPS6,0,-3.58813E-05
AACPS7,0.0194933,0.0194335
AACPS8,0,-3.58813E-05
AACPS9,0,-3.44482E-05
AACTOOR,0,-1.79407E-05
AADDGT,0,-8.59862E-07
AAMYL,0,0
AAMYLpp,0,0
AB6PGH,0,0
ABTA,0,-4.78418E-05
ABUTD,0,-6.83454E-06
ABUTt2pp,0,1000
ABUTtex,1.30478E-05,-4.78E-05
ACACCT,0,0
ACACT1r,0.149624,0.149542
ACACT2r,0.149624,0.149542
ACACT3r,0.149624,0.14961
ACACT4r,0.149627,0.149608
ACACT5r,0.149637,0.149608
ACACT6r,0.130167,0.130142
ACACT7r,0.126321,0.126249
ACACT8r,-0.0232295,-0.0232534
ACACt2pp,0,0
ACACtex,0,0
ACALD,-14.7223,-14.7232
ACALDtex,7.17627E-05,0.00E+00
ACALDtpp,7.17627E-05,0.00E+00
ACANTHAT,0,0
ACBIPGT,0,0
ACCOAC,0.0155932,0.0155214
ACCOAL,0,1000
ACGAL1PPpp,0,0
ACGAL1Ptex,0,0
ACGALtex,0,0
ACGAM1PPpp,0,0
ACGAM1Ptex,0,0
ACGAMK,4.78418E-06,-3.88E-06
ACGAMT,0,-8.59862E-07
ACGAptspp,0,0
ACGAtex,0,0
ACGK,0.156421,0.156385
ACGS,0.156421,0.156385
ACHBS,0.134865,0.134857
ACKr,-1000,-14.7176
ACLS,0.405839,0.405815
ACM6PH,8.44267E-06,-3.88E-06
ACMAMUT,0,-8.59862E-07
ACMANAptspp,0,0
ACMANAtex,0,0
ACMUMptspp,0,0
ACMUMtex,0,0
ACNAMt2pp,0,0
ACNAMtex,0,0
ACNML,0,0
ACOAD1f,-0.149542,-0.149624
ACOAD2f,-0.149542,-0.149624
ACOAD3f,-0.14961,-0.149624
ACOAD4f,-0.149608,-0.149627
ACOAD5f,-0.149608,-0.149637
ACOAD6f,-0.130142,-0.130215
ACOAD7f,-0.0811776,-0.0812016
ACOAD8f,0,-8.6985E-06
ACOATA,3.58813E-05,-1.03E-05
ACODA,0.156421,0.156413
ACOLIPAabctex,0,-3.60013E-07
ACONIs,0,0
ACONMT,0,0
ACONTa,0.519826,0.519813
ACONTb,0.519826,0.519813
ACOTA,-0.156413,-0.156421
ACPPAT120,0,-3.58813E-05
ACPPAT140,0,-0.000143525
ACPPAT141,0,-3.58813E-05
ACPPAT160,0,0.0289382
ACPPAT161,0,0.0225
ACPPAT180,0,-3.58813E-05
ACPPAT181,0,0.0115789
ACPS1,0,0
ACS,0,985.282
ACSERtex,1.02518E-05,0.00E+00
ACSERtpp,0,-1.02518E-05
ACt2rpp,-1000,-15.0002
ACt4pp,0,985
ACtex,-14.9995,-15.0002
ADA,0,-2.39209E-05
ADCL,0.000426124,0.000426124
ADCS,0.000426124,0.000426124
ADD,0,-2.39209E-05
ADEt2rpp,2.7601E-06,0.00E+00
ADEtex,2.7601E-06,0.00E+00
ADK1,-1000,1000
ADK3,-1000,999.63
ADK4,3.58813E-05,0.00E+00
ADMDC,0.00322173,0.00321972
ADNCYC,0,-3.58813E-05
ADNK1,0,0.00436247
ADNUC,0,-3.58813E-05
ADNt2pp,0,1000
ADNt2rpp,-1000,0
ADNtex,2.23096E-06,0.00E+00
ADOCBIK,0,0
ADOCBLS,0,0
ADOCBLabcpp,0,0
